RowNumber,variable,label
16,aq_2018_cbmdc-pm2-5_g_1_500_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 500m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
17,aq_2018_cbmdc-pm2-5_g_1_500_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 500m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
18,aq_2018_cbmdc-pm2-5_g_1_1000_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 1000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
19,aq_2018_cbmdc-pm2-5_g_1_1000_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 1000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
20,aq_2018_cbmdc-pm2-5_g_1_2000_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 2000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
21,aq_2018_cbmdc-pm2-5_g_1_2000_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 2000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
22,aq_2018_cbmdc-nox_g_1_100_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 100m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
23,aq_2018_cbmdc-nox_g_1_100_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 100m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
24,aq_2018_cbmdc-nox_g_1_300_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 300m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
25,aq_2018_cbmdc-nox_g_1_300_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 300m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
26,aq_2018_cbmdc-nox_g_1_500_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 500m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
27,aq_2018_cbmdc-nox_g_1_500_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 500m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
28,aq_2018_cbmdc-nox_g_1_1000_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 1000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
29,aq_2018_cbmdc-nox_g_1_1000_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 1000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
30,aq_2018_cbmdc-nox_g_1_2000_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 2000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
31,aq_2018_cbmdc-nox_g_1_2000_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 2000m circular buffer around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
32,aq_2018_cbmdc-pm10_i_2_100_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm)  in micrograms within 100m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
33,aq_2018_cbmdc-pm10_i_2_100_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 100m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
34,aq_2018_cbmdc-pm2-5_i_2_100_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 100m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
35,aq_2018_cbmdc-pm2-5_i_2_100_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 100m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
36,aq_2018_cbmdc-nox_i_2_100_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 100m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
37,aq_2018_cbmdc-nox_i_2_100_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 100m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
38,aq_2018_cbmdc-pm10_i_2_300_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 300m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
39,aq_2018_cbmdc-pm10_i_2_300_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 300m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
40,aq_2018_cbmdc-pm2-5_i_2_300_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 300m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
41,aq_2018_cbmdc-pm2-5_i_2_300_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 300m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
42,aq_2018_cbmdc-nox_i_2_300_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 300m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
43,aq_2018_cbmdc-nox_i_2_300_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 300m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
44,aq_2018_cbmdc-pm10_i_2_500_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
45,aq_2018_cbmdc-pm10_i_2_500_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
46,aq_2018_cbmdc-pm2-5_i_2_500_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
47,aq_2018_cbmdc-pm2-5_i_2_500_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
48,aq_2018_cbmdc-nox_i_2_500_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
49,aq_2018_cbmdc-nox_i_2_500_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
50,aq_2018_cbmdc-pm10_i_2_1000_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm)  in micrograms within 1000m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
51,aq_2018_cbmdc-pm10_i_2_1000_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 1000m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
52,aq_2018_cbmdc-pm2-5_i_2_1000_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 1000m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
53,aq_2018_cbmdc-pm2-5_i_2_1000_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 1000m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
54,aq_2018_cbmdc-nox_i_2_1000_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 1000m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
55,aq_2018_cbmdc-nox_i_2_1000_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 1000m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
56,aq_2018_cbmdc-pm10_i_2_1500_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 1500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
57,aq_2018_cbmdc-pm10_i_2_1500_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 1500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
58,aq_2018_cbmdc-pm2-5_i_2_1500_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 1500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
59,aq_2018_cbmdc-pm2-5_i_2_1500_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 1500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
60,aq_2018_cbmdc-nox_i_2_1500_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 1500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
61,aq_2018_cbmdc-nox_i_2_1500_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 1500m street network based catchment area around the home address, using 2018 data from the City of Bradford Metropolitan District Council."
62,aq_2018_defra-pm10_g_1_100_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 100m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
63,aq_2018_defra-pm10_g_1_100_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 100m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
64,aq_2018_defra-pm10_g_1_300_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 300m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
65,aq_2018_defra-pm10_g_1_300_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 300m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
66,aq_2018_defra-pm10_g_1_500_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 500m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
67,aq_2018_defra-pm10_g_1_500_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 500m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
68,aq_2018_defra-pm10_g_1_1000_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 1000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
69,aq_2018_defra-pm10_g_1_1000_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 1000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
70,aq_2018_defra-pm10_g_1_2000_mean,"Average concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 2000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
71,aq_2018_defra-pm10_g_1_2000_max,"Maximum concentration of Particulate Matter (PM10 < 10Âµm) in micrograms within 2000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
72,aq_2018_defra-pm2-5_g_1_100_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 100m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
73,aq_2018_defra-pm2-5_g_1_100_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 100m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
74,aq_2018_defra-pm2-5_g_1_300_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 300m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
75,aq_2018_defra-pm2-5_g_1_300_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 300m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
76,aq_2018_defra-pm2-5_g_1_500_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 500m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
77,aq_2018_defra-pm2-5_g_1_500_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 500m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
78,aq_2018_defra-pm2-5_g_1_1000_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 1000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
79,aq_2018_defra-pm2-5_g_1_1000_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 1000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
80,aq_2018_defra-pm2-5_g_1_2000_mean,"Average concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 2000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
81,aq_2018_defra-pm2-5_g_1_2000_max,"Maximum concentration of Particulate Matter (PM2.5 < 2.5Âµm) in micrograms within 2000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
82,aq_2018_defra-nox_g_1_100_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 100m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
83,aq_2018_defra-nox_g_1_100_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 100m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
84,aq_2018_defra-nox_g_1_300_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 300m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
85,aq_2018_defra-nox_g_1_300_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 300m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
86,aq_2018_defra-nox_g_1_500_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 500m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
87,aq_2018_defra-nox_g_1_500_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 500m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
88,aq_2018_defra-nox_g_1_1000_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 1000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
89,aq_2018_defra-nox_g_1_1000_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 1000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
90,aq_2018_defra-nox_g_1_2000_mean,"Average concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 2000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
91,aq_2018_defra-nox_g_1_2000_max,"Maximum concentration of nitrogen oxide (NOx expressed as NO2) in micrograms within 2000m circular buffer around the home address, using 2018 data from the Department for Environment, Food and Rural Affairs."
92,be_2021_footprint_a,Size of the building footprint of the building containing the home address in square meters.
93,be_2021_height_a,Height of the building containing the home address in meters.
94,be_2021_volume_a,Volume of the building containing the home address in cubic square meters.
95,be_2021_floorarea_a,Floor area of the building containing the home address in square meters.
96,be_2021_fsi_c,Floor-space index (FSI) of the block containing the home address.
97,be_2021_gsi_c,Ground-space index (GSI) of the block containing the home address.
98,be_2021_osr_c,Open-space ratio (OSR) of the block containing the home address.
99,be_2021_l_c,Average building layers of floors (L) of the block containing the home address.
100,be_2021_blockarea_c,Size of the block containing the home address in square meters.
101,be_2021_footprint_c_sum,Sum of all building footprints within the block containing the home address in square meters.
102,be_2021_height_c_mean,Average height of all buildings within the block containing the home address in meters.
103,be_2021_floorarea_c_sum,Sum of floor area within the block containing the home address in square meters.
104,be_2021_volume_c_sum,Sum of volume of all buildings within the block containing the home address in square meters.
105,be_2021_volume-density_c,Volume density of the block containing the home address in square meters.
106,fe_2021_all_count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of all food outlets.
107,fe_2021_all_count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of all food outlets.
108,fe_2021_all_count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of all food outlets.
109,fe_2021_all_count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of all food outlets.
110,fe_2021_all_count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of all food outlets.
111,fe_2021_all-count_f_2_300,Count of all food outlets within street network based distance of 300m.
112,fe_2021_all-count_f_2_500,Count of all food outlets within street network based distance of 500m.
113,fe_2021_all-count_f_2_1000,Count of all food outlets within street network based distance of 1000m.
114,fe_2021_all-count_f_2_1500,Count of all food outlets within street network based distance of 1500m.
115,fe_2021_all-count_f_2_2000,Count of all food outlets within street network based distance of 2000m.
116,fe_2021_all-distance_f_2_mean,Average distance to all food outlets.
117,fe_2021_all-closest_d_2,Distance to the closest food oulet in meters.
118,fe_2021_ff-wide-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of fast-food outlets (wide definition).
119,fe_2021_ff-wide-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of fast-food outlets (wide definition).
120,fe_2021_ff-wide-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of fast-food outlets (wide definition).
121,fe_2021_ff-wide-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of fast-food outlets (wide definition).
122,fe_2021_ff-wide-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of fast-food outlets (wide definition).
123,fe_2021_ff-wide-count_f_2_300,Count of fast-food outlets (wide definition) within street network based distance of 300m.
124,fe_2021_ff-wide-count_f_2_500,Count of fast-food outlets (wide definition) within street network based distance of 500m.
125,fe_2021_ff-wide-count_f_2_1000,Count of fast-food outlets (wide definition) within street network based distance of 1000m.
126,fe_2021_ff-wide-count_f_2_1500,Count of fast-food outlets (wide definition) within street network based distance of 1500m.
127,fe_2021_ff-wide-count_f_2_2000,Count of fast-food outlets (wide definition) within street network based distance of 2000m.
128,fe_2021_ff-wide-distance_f_2_mean,Average distance to all fast-food outlets (narrowly defined).
129,fe_2021_ff-wide-closest_d_2,Distance to the closest fast-food outlet (wide definition) in meters.
130,fe_2021_ff-narrow-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of fast-food outlets (narrow definition).
131,fe_2021_ff-narrow-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of fast-food outlets (narrow definition).
132,fe_2021_ff-narrow-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of fast-food outlets (narrow definition).
133,fe_2021_ff-narrow-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of fast-food outlets (narrow definition).
134,fe_2021_ff-narrow-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of fast-food outlets (narrow definition).
135,fe_2021_ff-narrow-count_f_2_300,Count of fast-food outlets (narrow definition) within street network based distance of 300m.
136,fe_2021_ff-narrow-count_f_2_500,Count of fast-food outlets (narrow definition) within street network based distance of 500m.
137,fe_2021_ff-narrow-count_f_2_1000,Count of fast-food outlets (narrow definition) within street network based distance of 1000m.
138,fe_2021_ff-narrow-count_f_2_1500,Count of fast-food outlets (narrow definition) within street network based distance of 1500m.
139,fe_2021_ff-narrow-count_f_2_2000,Count of fast-food outlets (narrow definition) within street network based distance of 2000m.
140,fe_2021_ff-narrow-distance_f_2_mean,Average distance to all fast-food outlets (narrow definition).
141,fe_2021_ff-narrow-closest_d_2,Distance to the closest fast-food outlet (narrow definition) in meters.
142,gg_2021_acs-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of allotments or community growing spaces.
143,gg_2021_acs-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of allotments or community growing spaces.
144,gg_2021_acs-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of allotments or community growing spaces.
145,gg_2021_acs-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of allotments or community growing spaces.
146,gg_2021_acs-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of allotments or community growing spaces.
147,gg_2021_acs-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of allotments or community growing spaces.
148,gg_2021_acs-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of allotments or community growing spaces.
149,gg_2021_acs-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of allotments or community growing spaces.
150,gg_2021_acs-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of allotments or community growing spaces.
151,gg_2021_acs-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of allotments or community growing spaces.
152,gg_2021_acs-count_f_2_300,Count of allotments or community growing spaces within street network based distance of 300m.
153,gg_2021_acs-count_f_2_500,Count of allotments or community growing spaces within street network based distance of 500m.
154,gg_2021_acs-count_f_2_1000,Count of allotments or community growing spaces within street network based distance of 1000m.
155,gg_2021_acs-count_f_2_2000,Count of allotments or community growing spaces within street network based distance of 2000m.
156,gg_2021_acs-count-2ha_f_2_300,Count of allotments or community growing spaces of at least 2 hectar within street network based distance of 300m.
157,gg_2021_acs-count-20ha_f_2_2000,Count of allotments or community growing spaces of at least 20 hectar within street network based distance of 2000m.
158,gg_2021_acs-count-100ha_f_2_5000,Count of allotments or community growing spaces of at least 100 hectar within street network based distance of 5000m.
159,gg_2021_acs-distance_f_2_mean,Average distance to all allotments or community growing spaces.
160,gg_2021_acs-closest_d_2,Distance to the closest allotment or community growing space.
161,gg_2021_all-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of all green spaces.
162,gg_2021_all-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of all green spaces.
163,gg_2021_all-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of all green spaces.
164,gg_2021_all-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of all green spaces.
165,gg_2021_all-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of all green spaces.
166,gg_2021_all-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of all green spaces.
167,gg_2021_all-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of all green spaces.
168,gg_2021_all-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of all green spaces.
169,gg_2021_all-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of all green spaces.
170,gg_2021_all-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of all green spaces.
171,gg_2021_all-count_f_2_300,Count of all green spaces within street network based distance of 300m.
172,gg_2021_all-count_f_2_500,Count of all green spaces within street network based distance of 500m.
173,gg_2021_all-count_f_2_1000,Count of all green spaces within street network based distance of 1000m.
174,gg_2021_all-count_f_2_2000,Count of all green spaces within street network based distance of 2000m.
175,gg_2021_all-count-2ha_f_2_300,Count of all green spaces of at least 2 hectar within street network based distance of 300m.
176,gg_2021_all-count-20ha_f_2_2000,Count of all green spaces of at least 20 hectar within street network based distance of 2000m.
177,gg_2021_all-count-100ha_f_2_5000,Count of all green spaces of at least 100 hectar within street network based distance of 5000m.
178,gg_2021_all-distance_f_2_mean,Average distance to all green spaces.
179,gg_2021_all-closest_d_2,Distance to the closest green space.
180,gg_2021_bog-count_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) count of bowling greens.
181,gg_2021_bog-count_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) count of bowling greens.
182,gg_2021_bog-count_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) count of bowling greens.
183,gg_2021_bog-count_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) count of bowling greens.
184,gg_2021_bog-count_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) count of bowling greens.
185,gg_2021_bog-area_e_4_0-001,Distance decay weighted (parameter Î² = 0.001) area of bowling greens.
186,gg_2021_bog-area_e_4_0-003,Distance decay weighted (parameter Î² = 0.003) area of bowling greens.
187,gg_2021_bog-area_e_4_0-005,Distance decay weighted (parameter Î² = 0.005) area of bowling greens.
188,gg_2021_bog-area_e_4_0-007,Distance decay weighted (parameter Î² = 0.007) area of bowling greens.
189,gg_2021_bog-area_e_4_0-01,Distance decay weighted (parameter Î² = 0.01) area of bowling greens.
190,gg_2021_bog-count_f_2_300,Count of bowling greens within street network based distance of 300m.
191,gg_2021_bog-count_f_2_500,Count of bowling greens within street network based distance of 500m.
192,gg_2021_bog-count_f_2_1000,Count of bowling greens within street network based distance of 1000m.
